iteration_num,time_ms,total_edge_loss,volume_ratio,vertex_count,split_count,collapse_count,flip_count,smooth_count
0,-1,13960,1,35947,-1,-1,-1,-1
1,347.722,10182.6,0.99995,37485,5586,4048,3838,36102
2,323.778,6078.67,0.999843,33786,1033,4732,2319,32408
3,255.272,4641.15,0.999784,32404,858,2240,1692,31027
4,238.799,3781.4,0.999757,31538,668,1534,1297,30162
5,245.317,3232.16,0.99972,31007,526,1057,1016,29632
6,241.143,2875.08,0.999706,30612,400,795,755,29237
7,217.311,2633.44,0.999696,30260,265,617,586,28885
8,215.573,2466.56,0.999692,30037,237,460,531,28662
9,223.612,2340.17,0.999684,29885,208,360,405,28510
10,222.927,2258.38,0.999684,29767,159,277,341,28393
11,210.812,2186.64,0.999678,29672,129,224,297,28298
12,217.203,2140.01,0.999674,29609,144,207,288,28235
13,210.166,2093.77,0.999677,29540,111,180,234,28167
14,212.75,2059.09,0.999676,29508,112,144,217,28135
15,210.325,2020.5,0.999672,29474,109,143,209,28101
16,209.945,1978.17,0.999673,29440,89,123,153,28067
17,208.192,1955.76,0.999677,29404,68,104,126,28032
18,204.707,1932.92,0.999676,29384,57,77,111,28012
19,207.243,1920.44,0.999681,29370,49,63,105,27999
20,201.256,1902.88,0.999681,29345,30,55,75,27974
